                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     14,                 1.0019,                0.73216,                 1.0622,                0.97399,                   0.96,                0.98572,                0.85716,                0.60326,                0.48429,                0.97399,               0.001406,               0.001406,               0.001406
                     15,                 1.0059,                0.77476,                 1.0685,                0.93631,                0.98718,                0.98162,                0.84255,                0.61238,                0.47218,                0.98011,              0.0013565,              0.0013565,              0.0013565
                     16,                0.96494,                 0.7081,                 1.0437,                0.97188,                0.98718,                0.99011,                0.87996,                 0.5301,                0.42242,                0.92216,               0.001307,               0.001307,               0.001307
                     17,                0.98096,                0.69407,                 1.0545,                0.98684,                0.96133,                0.98596,                0.84604,                0.59702,                0.47641,                0.96197,              0.0012575,              0.0012575,              0.0012575
                     18,                0.97623,                0.70072,                 1.0289,                0.97335,                0.98718,                0.99188,                0.86789,                0.55849,                0.43352,                0.94431,               0.001208,               0.001208,               0.001208
                     19,                0.97241,                0.67529,                 1.0513,                0.99929,                      1,                  0.995,                0.87601,                0.50267,                0.38779,                0.90575,              0.0011585,              0.0011585,              0.0011585
                     20,                0.95114,                0.63805,                 1.0299,                0.99764,                0.98718,                0.99407,                 0.8399,                0.56451,                0.38259,                0.92673,               0.001109,               0.001109,               0.001109
                     21,                0.93095,                0.64765,                 1.0385,                0.98192,                0.98718,                0.99387,                0.90415,                0.49723,                0.36752,                  0.908,              0.0010595,              0.0010595,              0.0010595
                     22,                0.91245,                0.60299,                 1.0146,                0.99864,                0.98718,                0.99487,                0.86743,                0.55957,                0.36439,                0.96013,                0.00101,                0.00101,                0.00101
                     23,                0.91872,                0.59216,                 1.0131,                0.99622,                0.98718,                0.99386,                0.89465,                0.51427,                0.33628,                0.90227,              0.0009605,              0.0009605,              0.0009605
                     24,                0.89617,                0.59292,                 1.0118,                0.97228,                0.98718,                0.99367,                0.90222,                0.47766,                0.33715,                0.88725,               0.000911,               0.000911,               0.000911
                     25,                0.85862,                0.57106,                 1.0013,                0.99699,                0.97436,                0.99374,                0.89424,                0.48901,                0.31365,                0.89452,              0.0008615,              0.0008615,              0.0008615
                     26,                0.87391,                0.55319,                 1.0043,                0.98578,                      1,                0.99487,                0.89354,                0.50188,                0.30709,                0.89996,               0.000812,               0.000812,               0.000812
                     27,                0.86391,                0.53506,                 1.0036,                      1,                0.99919,                  0.995,                0.87404,                0.58339,                0.32838,                0.93729,              0.0007625,              0.0007625,              0.0007625
                     28,                0.86012,                0.53592,                0.98804,                0.99877,                      1,                  0.995,                0.90056,                0.50144,                0.30495,                0.90022,               0.000713,               0.000713,               0.000713
                     29,                0.85647,                0.53517,                0.99247,                0.97222,                      1,                0.99462,                0.91023,                0.46925,                0.29517,                0.87565,              0.0006635,              0.0006635,              0.0006635
                     30,                0.81294,                0.51002,                0.98658,                0.98728,                0.99493,                0.99475,                 0.9044,                0.50788,                0.30693,                0.89236,               0.000614,               0.000614,               0.000614
                     31,                0.87108,                0.51121,                0.97877,                0.99788,                0.98718,                0.99487,                0.89498,                0.49344,                0.29819,                0.88282,              0.0005645,              0.0005645,              0.0005645
                     32,                0.85448,                0.48646,                0.96261,                 0.9991,                      1,                  0.995,                0.92544,                0.43247,                0.26777,                0.86531,               0.000515,               0.000515,               0.000515
                     33,                0.84107,                0.47227,                0.95817,                0.98731,                0.99786,                0.99487,                0.88484,                0.50347,                0.29199,                0.89606,              0.0004655,              0.0004655,              0.0004655
                     34,                  0.829,                0.46833,                0.96283,                0.99929,                      1,                  0.995,                0.91089,                0.46188,                0.26732,                0.86755,               0.000416,               0.000416,               0.000416
                     35,                0.80208,                   0.45,                0.94028,                      1,                0.99912,                  0.995,                0.91552,                0.42164,                0.26805,                0.84837,              0.0003665,              0.0003665,              0.0003665
                     36,                0.79391,                0.44258,                0.93629,                0.99929,                      1,                  0.995,                0.93306,                0.43542,                0.25278,                0.85318,               0.000317,               0.000317,               0.000317
                     37,                0.79675,                0.42337,                0.94194,                0.99923,                      1,                  0.995,                0.92608,                0.43251,                 0.2404,                0.85534,              0.0002675,              0.0002675,              0.0002675
                     38,                 0.7831,                0.42416,                 0.9195,                0.99931,                      1,                  0.995,                0.92414,                 0.4224,                0.24287,                0.84754,               0.000218,               0.000218,               0.000218
                     39,                0.77622,                0.42281,                0.93631,                0.99919,                      1,                  0.995,                0.93545,                0.42191,                0.23646,                0.85075,              0.0001685,              0.0001685,              0.0001685
                     40,                0.76306,                0.40916,                0.93092,                0.99904,                      1,                  0.995,                0.93037,                0.41183,                0.23433,                0.84507,               0.000119,               0.000119,               0.000119
